"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"7005-006-049","Warehousing, Distribution, Storage","1979","2","63883"
"6336-003-038","Warehousing, Distribution, Storage","1955","2","63871"
"8002-013-005","Warehousing, Distribution, Storage","1985","2","63861"
"8026-020-050","Warehousing, Distribution, Storage","1980","2","63815"
"8728-001-020","Warehousing, Distribution, Storage","1984","2","63810"
"8124-012-028","Warehousing, Distribution, Storage","1988","2","63810"
"6310-027-039","Warehousing, Distribution, Storage","1987","2","63804"
"669452054","warehouse/dry storage","1978","2","63746"
"022932103","distribution warehouse","1984","2","63740"
"7318-019-018","Warehousing, Distribution, Storage","1972","2","63734"
"8556-019-026","Warehousing, Distribution, Storage","1910","2","63728"
"023417101","storage warehouse","1990","2","63716"
"6164-018-020","Warehousing, Distribution, Storage","2001","2","63708"
"8005-019-029","Warehousing, Distribution, Storage","2003","2","63704"
"105607120","storage warehouse","2019","2","63665"
"250080011","warehouse/dry storage","1984","2","63657"
"025205109","storage warehouse","1952","2","63642"
"6335-014-021","Warehousing, Distribution, Storage","1956","2","63633"
"025203252","storage warehouse","1910","2","63625"
"025205110","storage warehouse","1990","2","63615"
"7318-002-064","Warehousing, Distribution, Storage","1981","2","63587"
"025209120","storage warehouse","2000","2","63563"
"6126-009-020","Warehousing, Distribution, Storage","1981","2","63555"
"2463-010-020","Warehousing, Distribution, Storage","2006","2","63542"
"6310-002-028","Warehousing, Distribution, Storage","1949","2","63538"
"8532-020-002","Warehousing, Distribution, Storage","1999","2","63523"
"7381-025-081","Warehousing, Distribution, Storage","1973","2","63518"
"2408-017-021","Warehousing, Distribution, Storage","2004","2","63515"
"6358-015-035","Warehousing, Distribution, Storage","1983","2","63506"
"8169-003-041","Warehousing, Distribution, Storage","1983","2","63484"
"046708106","storage warehouse","1986","2","63482"
"8760-024-014","Warehousing, Distribution, Storage","1986","2","63442"
"6310-027-036","Warehousing, Distribution, Storage","1986","2","63432"
"8574-020-018","Warehousing, Distribution, Storage","1962","2","63429"
"7344-003-007","Warehousing, Distribution, Storage","1976","2","63425"
"8168-009-037","Warehousing, Distribution, Storage","2017","2","63402"
"2866-012-054","Warehousing, Distribution, Storage","1985","2","63359"
"7005-008-084","Warehousing, Distribution, Storage","2002","2","63355"
"4126-011-058","Warehousing, Distribution, Storage","1987","2","63350"
"8760-014-011","Warehousing, Distribution, Storage","1979","2","63347"
"3109-023-052","Warehousing, Distribution, Storage","1989","2","63321"
"3271-025-069","Warehousing, Distribution, Storage","1999","2","63302"
"8762-001-036","Warehousing, Distribution, Storage","2002","2","63261"
"7003-004-009","Warehousing, Distribution, Storage","1970","2","63247"
"7306-006-044","Warehousing, Distribution, Storage","1974","2","63239"
"023818541","storage warehouse","1978","2","63205"
"8709-028-014","Warehousing, Distribution, Storage","2012","2","63178"
"013021140","storage warehouse","2008","2","63171"
"7328-018-034","Warehousing, Distribution, Storage","1979","2","63141"
"053105109","storage warehouse","2001","2","63132"
"042118115","storage warehouse","1972","2","63131"
"5624-021-026","Warehousing, Distribution, Storage","1977","2","63106"
"3022-013-026","Warehousing, Distribution, Storage","1979","2","63067"
"5423-008-014","Warehousing, Distribution, Storage","1990","2","63034"
"028104173","storage warehouse","2007","2","63028"
"3126-021-029","Warehousing, Distribution, Storage","2010","2","62988"
"025804140","storage warehouse","2007","2","62973"
"2836-068-005","Warehousing, Distribution, Storage","2004","2","62962"
"7413-002-055","Warehousing, Distribution, Storage","1986","2","62946"
"8328-011-036","Warehousing, Distribution, Storage","1989","2","62943"
"8313-007-009","Warehousing, Distribution, Storage","1978","2","62934"
"059706122","storage warehouse","1989","2","62933"
"7001-010-044","Warehousing, Distribution, Storage","1979","2","62920"
"021020513","storage warehouse","2019","2","62887"
"100623125","storage warehouse","1999","2","62876"
"5627-018-040","Warehousing, Distribution, Storage","1957","2","62872"
"7318-002-059","Warehousing, Distribution, Storage","1979","2","62866"
"7306-009-026","Warehousing, Distribution, Storage","1990","2","62861"
"6353-001-005","Warehousing, Distribution, Storage","1968","2","62855"
"872272016","warehouse/dry storage","1910","2","62835"
"291420007","warehouse/dry storage","1985","2","62820"
"2109-001-903","Warehousing, Distribution, Storage","1983","2","62793"
"023818555","storage warehouse","1986","2","62789"
"023813344","distribution warehouse","2003","2","62752"
"5166-031-014","Warehousing, Distribution, Storage","2005","2","62727"
"3114-015-012","Warehousing, Distribution, Storage","2019","2","62712"
"8264-017-030","Warehousing, Distribution, Storage","1996","2","62658"
"8002-017-010","Warehousing, Distribution, Storage","1980","2","62655"
"8565-003-019","Warehousing, Distribution, Storage","1961","2","62653"
"7339-016-003","Warehousing, Distribution, Storage","2016","2","62629"
"167110031","warehouse/dry storage","2016","2","62598"
"022901275","storage warehouse","2021","2","62595"
"7352-009-028","Warehousing, Distribution, Storage","1973","2","62575"
"869060002","warehouse/dry storage","1947","2","62519"
"6007-019-019","Warehousing, Distribution, Storage","1968","2","62511"
"3271-025-080","Warehousing, Distribution, Storage","1998","2","62508"
"435211013","warehouse/dry storage","1991","2","62503"
"8390-018-048","Warehousing, Distribution, Storage","1977","2","62475"
"023809171","storage warehouse","1990","2","62436"
"2506-010-012","Warehousing, Distribution, Storage","1979","2","62435"
"7323-001-058","Warehousing, Distribution, Storage","1974","2","62434"
"8710-011-049","Warehousing, Distribution, Storage","1982","2","62386"
"6353-017-005","Warehousing, Distribution, Storage","1978","2","62379"
"016740107","distribution warehouse","2008","2","62366"
"2466-021-016","Warehousing, Distribution, Storage","1979","2","62349"
"2746-012-038","Warehousing, Distribution, Storage","1986","2","62323"
"8406-001-021","Warehousing, Distribution, Storage","1976","2","62309"
"029215412","distribution warehouse","1992","2","62258"
"026601210","storage warehouse","2021","2","62242"
"8208-027-017","Warehousing, Distribution, Storage","2017","2","62211"
"308739203","storage warehouse","1985","2","62152"
"2746-010-001","Warehousing, Distribution, Storage","1988","2","62048"
"7306-009-030","Warehousing, Distribution, Storage","1993","2","61993"
"8615-001-404","Warehousing, Distribution, Storage","2017","2","61983"
"7005-013-052","Warehousing, Distribution, Storage","1974","2","61963"
"282160024","warehouse/dry storage","2007","2","61937"
"8225-008-040","Warehousing, Distribution, Storage","2007","2","61911"
"6310-027-046","Warehousing, Distribution, Storage","1989","2","61899"
"8760-007-026","Warehousing, Distribution, Storage","1982","2","61875"
"127210006","warehouse/dry storage","1910","2","61863"
"012825104","storage warehouse","1980","2","61849"
"102113202","distribution warehouse","1985","2","61835"
"4204-005-027","Warehousing, Distribution, Storage","1977","2","61807"
"7344-003-095","Warehousing, Distribution, Storage","2020","2","61782"
"101659208","storage warehouse","1990","2","61778"
"8546-031-074","Warehousing, Distribution, Storage","1992","2","61778"
"115290012","warehouse/dry storage","1989","2","61771"
"7352-009-029","Warehousing, Distribution, Storage","1973","2","61771"
"6353-017-020","Warehousing, Distribution, Storage","1987","2","61758"
"023821143","storage warehouse","1994","2","61697"
"028104165","storage warehouse","2008","2","61694"
"7102-013-033","Warehousing, Distribution, Storage","1926","2","61676"
"2811-068-035","Warehousing, Distribution, Storage","2004","2","61674"
"4126-007-043","Warehousing, Distribution, Storage","1991","2","61648"
"8245-003-025","Warehousing, Distribution, Storage","1981","2","61643"
"7307-008-030","Warehousing, Distribution, Storage","1979","2","61640"
"023815201","storage warehouse","2003","2","61636"
"156360031","warehouse/dry storage","2015","2","61631"
"8069-006-046","Warehousing, Distribution, Storage","1977","2","61620"
"5627-023-045","Warehousing, Distribution, Storage","1986","2","61617"
"7001-013-094","Warehousing, Distribution, Storage","1969","2","61611"
"7005-005-062","Warehousing, Distribution, Storage","1975","2","61606"
"100753109","storage warehouse","2017","2","61580"
"7347-018-032","Warehousing, Distribution, Storage","2008","2","61571"
"8720-026-033","Warehousing, Distribution, Storage","1988","2","61555"
"020915151","storage warehouse","2014","2","61554"
"2811-003-004","Warehousing, Distribution, Storage","1981","2","61524"
"6332-002-030","Warehousing, Distribution, Storage","1988","2","61520"
"8378-027-040","Warehousing, Distribution, Storage","2015","2","61499"
"4149-006-031","Warehousing, Distribution, Storage","1964","2","61467"
"6129-010-056","Warehousing, Distribution, Storage","1974","2","61465"
"6310-027-053","Warehousing, Distribution, Storage","1989","2","61457"
"2546-001-189","Warehousing, Distribution, Storage","1987","2","61445"
"8069-006-037","Warehousing, Distribution, Storage","1989","2","61434"
"039605215","storage warehouse","1984","2","61393"
"5106-006-014","Warehousing, Distribution, Storage","1984","2","61386"
"4203-027-159","Warehousing, Distribution, Storage","1980","2","61373"
"6332-022-011","Warehousing, Distribution, Storage","1988","2","61362"
"8242-026-016","Warehousing, Distribution, Storage","1979","2","61355"
"6308-002-006","Warehousing, Distribution, Storage","1947","2","61354"
"8762-001-037","Warehousing, Distribution, Storage","2002","2","61348"
"022926347","storage warehouse","1991","2","61332"
"028029231","storage warehouse","1981","2","61322"
"6336-014-016","Warehousing, Distribution, Storage","1954","2","61322"
"8577-003-010","Warehousing, Distribution, Storage","1964","2","61304"
"677462005","warehouse/dry storage","1989","2","61298"
"8206-027-078","Warehousing, Distribution, Storage","1972","2","61282"
"111014126","storage warehouse","2017","2","61279"
"8009-025-055","Warehousing, Distribution, Storage","1985","2","61272"
"5773-008-003","Warehousing, Distribution, Storage","2001","2","61266"
"8617-001-033","Warehousing, Distribution, Storage","2020","2","61212"
"6170-015-028","Warehousing, Distribution, Storage","1931","2","61198"
"2761-001-066","Warehousing, Distribution, Storage","1982","2","61158"
"7524-003-058","Warehousing, Distribution, Storage","1910","2","61134"
"6304-021-021","Warehousing, Distribution, Storage","1963","2","61133"
"8044-001-045","Warehousing, Distribution, Storage","2002","2","61129"
"6303-025-009","Warehousing, Distribution, Storage","1969","2","61117"
"8009-007-058","Warehousing, Distribution, Storage","1989","2","61096"
"4052-022-016","Warehousing, Distribution, Storage","1910","2","61038"
"022934103","storage warehouse","2016","2","61034"
"3126-026-004","Warehousing, Distribution, Storage","1979","2","61028"
"6304-018-018","Warehousing, Distribution, Storage","1990","2","61018"
"3128-009-067","Warehousing, Distribution, Storage","1975","2","60986"
"6340-015-004","Warehousing, Distribution, Storage","1979","2","60946"
"2466-018-049","Warehousing, Distribution, Storage","2008","2","60942"
"014101108","storage warehouse","1949","2","60937"
"2866-013-046","Warehousing, Distribution, Storage","1910","2","60901"
"5243-020-014","Warehousing, Distribution, Storage","1974","2","60897"
"2866-060-076","Warehousing, Distribution, Storage","2017","2","60887"
"8045-001-016","Warehousing, Distribution, Storage","1962","2","60872"
"8264-010-034","Warehousing, Distribution, Storage","1998","2","60843"
"125020016","warehouse/dry storage","1910","2","60752"
"022926309","storage warehouse","1989","2","60723"
"8760-001-014","Warehousing, Distribution, Storage","1999","2","60722"
"7119-020-032","Warehousing, Distribution, Storage","1973","2","60702"
"026204104","storage warehouse","2013","2","60678"
"6303-003-018","Warehousing, Distribution, Storage","2008","2","60637"
"8336-034-010","Warehousing, Distribution, Storage","1910","2","60575"
"144010064","warehouse/dry storage","2018","2","60556"
"8002-015-025","Warehousing, Distribution, Storage","2013","2","60552"
"7149-007-046","Warehousing, Distribution, Storage","1982","2","60522"
"6302-004-023","Warehousing, Distribution, Storage","1957","2","60512"
"4127-024-025","Warehousing, Distribution, Storage","1982","2","60499"
"6129-005-057","Warehousing, Distribution, Storage","1985","2","60489"
"612150028","warehouse/dry storage","1966","2","60480"
"102110142","storage warehouse","2004","2","60462"
"8069-007-055","Warehousing, Distribution, Storage","1980","2","60424"
"039605123","storage warehouse","1990","2","60420"
"8104-028-047","Warehousing, Distribution, Storage","1992","2","60408"
"8615-001-059","Warehousing, Distribution, Storage","1985","2","60401"
"5457-003-018","Warehousing, Distribution, Storage","2001","2","60389"
"023215116","storage warehouse","2002","2","60372"
"8567-022-020","Warehousing, Distribution, Storage","2007","2","60301"
"113351108","distribution warehouse","2019","2","60265"
"246260053","warehouse/dry storage","2003","2","60261"
"5164-010-002","Warehousing, Distribution, Storage","1910","2","60256"
"4016-030-015","Warehousing, Distribution, Storage","1964","2","60255"
"8202-033-018","Warehousing, Distribution, Storage","1969","2","60252"
"7318-009-066","Warehousing, Distribution, Storage","1990","2","60251"
"6332-012-052","Warehousing, Distribution, Storage","1985","2","60243"
"6303-004-037","Warehousing, Distribution, Storage","2004","2","60227"
"011339541","storage warehouse","2002","2","60217"
"6310-027-047","Warehousing, Distribution, Storage","1989","2","60213"
"6121-015-003","Warehousing, Distribution, Storage","1965","2","60206"
"2866-013-085","Warehousing, Distribution, Storage","1998","2","60202"
"2320-009-006","Warehousing, Distribution, Storage","2019","2","60199"
"308734227","storage warehouse","1964","2","60188"
"8264-004-090","Warehousing, Distribution, Storage","2000","2","60092"
"6357-017-005","Warehousing, Distribution, Storage","1959","2","60062"
"8005-014-075","Warehousing, Distribution, Storage","1990","2","60050"
"023808172","storage warehouse","1988","2","60041"
"021127554","storage warehouse","2016","2","59966"
"7005-008-083","Warehousing, Distribution, Storage","1977","2","59966"
"6137-005-005","Warehousing, Distribution, Storage","1956","2","59935"
"7306-012-095","Warehousing, Distribution, Storage","1973","2","59930"
"5243-020-019","Warehousing, Distribution, Storage","1978","2","59917"
"6001-012-027","Warehousing, Distribution, Storage","1990","2","59912"
"370080021","warehouse/dry storage","1982","2","59896"
"013640163","storage warehouse","1999","2","59896"
"8760-007-039","Warehousing, Distribution, Storage","1987","2","59894"
"104914130","storage warehouse","2021","2","59893"
"7003-003-027","Warehousing, Distribution, Storage","1977","2","59889"
"101212101","storage warehouse","1987","2","59824"
"6129-020-040","Warehousing, Distribution, Storage","1959","2","59804"
"2866-013-104","Warehousing, Distribution, Storage","1990","2","59784"
"021123250","storage warehouse","2000","2","59733"
"6356-004-019","Warehousing, Distribution, Storage","1955","2","59727"
"3154-003-041","Warehousing, Distribution, Storage","1958","2","59727"
"022912138","storage warehouse","1989","2","59719"
"7005-006-073","Warehousing, Distribution, Storage","1978","2","59712"
"6310-005-010","Warehousing, Distribution, Storage","2000","2","59700"
"041522118","storage warehouse","1990","2","59677"
"5436-002-027","Warehousing, Distribution, Storage","1987","2","59674"
"045967124","storage warehouse","1991","2","59670"
"8760-029-028","Warehousing, Distribution, Storage","1990","2","59669"
"029215817","distribution warehouse","2017","2","59661"
"4205-033-014","Warehousing, Distribution, Storage","1985","2","59658"
"2746-010-049","Warehousing, Distribution, Storage","1988","2","59613"
"020902132","storage warehouse","2003","2","59612"
"023010104","storage warehouse","2016","2","59601"
"101120128","storage warehouse","2018","2","59590"
"2307-021-007","Warehousing, Distribution, Storage","1973","2","59590"
"6340-017-006","Warehousing, Distribution, Storage","1965","2","59582"
"7503-021-035","Warehousing, Distribution, Storage","2001","2","59571"
"023804223","storage warehouse","1988","2","59535"
"8082-033-047","Warehousing, Distribution, Storage","1979","2","59533"
"5122-032-042","Warehousing, Distribution, Storage","1988","2","59514"
"7411-002-027","Warehousing, Distribution, Storage","1969","2","59512"
"7102-012-011","Warehousing, Distribution, Storage","1978","2","59505"
"026601203","storage warehouse","1981","2","59493"
"2746-016-016","Warehousing, Distribution, Storage","1979","2","59472"
"3271-024-078","Warehousing, Distribution, Storage","1995","2","59466"
"021123225","storage warehouse","1999","2","59455"
"8264-025-060","Warehousing, Distribution, Storage","2018","2","59420"
"5272-002-030","Warehousing, Distribution, Storage","1977","2","59380"
"5242-023-001","Warehousing, Distribution, Storage","1953","2","59374"
"4127-025-021","Warehousing, Distribution, Storage","1979","2","59369"
"8541-017-037","Warehousing, Distribution, Storage","2017","2","59355"
"102102125","storage warehouse","1989","2","59324"
"2866-013-097","Warehousing, Distribution, Storage","1985","2","59321"
"8577-001-032","Warehousing, Distribution, Storage","1970","2","59320"
"6302-009-026","Warehousing, Distribution, Storage","1961","2","59318"
"6129-009-041","Warehousing, Distribution, Storage","1967","2","59300"
"8005-015-039","Warehousing, Distribution, Storage","2000","2","59293"
"5442-032-008","Warehousing, Distribution, Storage","2001","2","59244"
"7010-015-037","Warehousing, Distribution, Storage","1978","2","59240"
"7010-015-044","Warehousing, Distribution, Storage","1978","2","59237"
"7157-013-027","Warehousing, Distribution, Storage","1970","2","59191"
"8413-010-023","Warehousing, Distribution, Storage","1990","2","59181"
"6356-005-027","Warehousing, Distribution, Storage","1988","2","59154"
"5593-011-039","Warehousing, Distribution, Storage","1968","2","59154"
"7306-003-047","Warehousing, Distribution, Storage","1969","2","59136"
"6354-027-021","Warehousing, Distribution, Storage","1972","2","59135"
"5166-031-009","Warehousing, Distribution, Storage","1992","2","59128"
"5168-004-001","Warehousing, Distribution, Storage","1988","2","59084"
"8005-012-017","Warehousing, Distribution, Storage","1985","2","59081"
"170350058","warehouse/dry storage","1910","2","59046"
"2650-021-003","Warehousing, Distribution, Storage","1978","2","59041"
"059405129","storage warehouse","2007","2","59026"
"8208-020-034","Warehousing, Distribution, Storage","1973","2","59001"
"7339-008-020","Warehousing, Distribution, Storage","1978","2","58997"
"5171-009-007","Warehousing, Distribution, Storage","1980","2","58993"
"6009-038-045","Warehousing, Distribution, Storage","2018","2","58992"
"8348-022-052","Warehousing, Distribution, Storage","2014","2","58964"
"5593-005-050","Warehousing, Distribution, Storage","1950","2","58964"
"8760-010-028","Warehousing, Distribution, Storage","2003","2","58957"
"6354-022-030","Warehousing, Distribution, Storage","1960","2","58951"
"7005-005-081","Warehousing, Distribution, Storage","1977","2","58901"
"8619-001-066","Warehousing, Distribution, Storage","1999","2","58864"
"144010065","warehouse/dry storage","1910","2","58861"
"6243-021-011","Warehousing, Distribution, Storage","1910","2","58860"
"102113218","storage warehouse","2017","2","58858"
"2604-002-040","Warehousing, Distribution, Storage","1989","2","58821"
"6353-017-021","Warehousing, Distribution, Storage","1988","2","58819"
"8264-002-019","Warehousing, Distribution, Storage","1988","2","58805"
"102102123","storage warehouse","1989","2","58788"
"507350013","warehouse/dry storage","2001","2","58787"
"2866-036-041","Warehousing, Distribution, Storage","2003","2","58787"
"4204-005-018","Warehousing, Distribution, Storage","1977","2","58784"
"6308-007-008","Warehousing, Distribution, Storage","1926","2","58777"
"2514-002-091","Warehousing, Distribution, Storage","2014","2","58777"
"102136143","distribution warehouse","1990","2","58768"
"7022-014-019","Warehousing, Distribution, Storage","1973","2","58757"
"7347-018-034","Warehousing, Distribution, Storage","1988","2","58751"
"2746-016-050","Warehousing, Distribution, Storage","1981","2","58727"
"7212-022-018","Warehousing, Distribution, Storage","1960","2","58720"
"8005-014-065","Warehousing, Distribution, Storage","1988","2","58705"
"029215734","storage warehouse","2021","2","58665"
"6302-010-014","Warehousing, Distribution, Storage","1970","2","58662"
"113351110","distribution warehouse","2020","2","58653"
"8011-020-035","Warehousing, Distribution, Storage","1998","2","58651"
"8604-018-009","Warehousing, Distribution, Storage","1987","2","58581"
"8532-020-015","Warehousing, Distribution, Storage","1995","2","58570"
"7377-011-002","Warehousing, Distribution, Storage","1963","2","58552"
"108336111","storage warehouse","2002","2","58531"
